,Unnamed: 0,date,audience,creative_family,creative_version,platform,clicks,spend,impressions,reach,concatenated,total_sessions,completions
5,5,28/03/2022,6,CloserTwins,30s,OTT,0,5542.59,163018,119740,44648_6_CloserTwins_30s_OTT,,
130,130,17/04/2022,6,CloserTwins,30s,OTT,0,5410.67,159138,116287,44668_6_CloserTwins_30s_OTT,12,0
71,71,10/04/2022,6,CloserTwins,30s,OTT,0,5402.28,158892,105856,44661_6_CloserTwins_30s_OTT,25,0
39,39,06/04/2022,6,CloserTwins,30s,OTT,0,5374.75,158082,95321,44657_6_CloserTwins_30s_OTT,52,0
1,1,26/03/2022,6,CloserTwins,30s,OTT,0,5350.32,157366,103407,44646_6_CloserTwins_30s_OTT,,
13,13,01/04/2022,6,CloserTwins,30s,OTT,0,5320.25,156481,86030,44652_6_CloserTwins_30s_OTT,59,6
95,95,13/04/2022,6,CloserTwins,30s,OTT,0,5301.85,155939,103965,44664_6_CloserTwins_30s_OTT,27,0
55,55,08/04/2022,6,CloserTwins,30s,OTT,0,5259.62,154697,87923,44659_6_CloserTwins_30s_OTT,18,0
18,18,02/04/2022,6,CloserTwins,30s,OTT,0,5227.5,153750,90328,44653_6_CloserTwins_30s_OTT,39,0
25935,25935,18/10/2022,4,UnfairAdvantage,1099,Domain Display,109,769.870645,153467,6420,44852_4_UnfairAdvantage_1099_Domain Display,70,0
120,120,15/04/2022,6,CloserTwins,30s,OTT,0,5195.61,152811,108865,44666_6_CloserTwins_30s_OTT,6,0
23,23,03/04/2022,6,CloserTwins,30s,OTT,0,5187.72,152582,84844,44654_6_CloserTwins_30s_OTT,46,0
28,28,04/04/2022,6,CloserTwins,30s,OTT,0,5182.5,152427,80719,44655_6_CloserTwins_30s_OTT,39,2
9,9,30/03/2022,6,CloserTwins,30s,OTT,0,5174.91,152205,84627,44650_6_CloserTwins_30s_OTT,,
87,87,12/04/2022,6,CloserTwins,30s,OTT,0,5169.81,152055,102832,44663_6_CloserTwins_30s_OTT,23,0
125,125,16/04/2022,6,CloserTwins,30s,OTT,0,5160.48,151780,98924,44667_6_CloserTwins_30s_OTT,4,0
63,63,09/04/2022,6,CloserTwins,30s,OTT,0,5139.49,151164,94260,44660_6_CloserTwins_30s_OTT,8,2
79,79,11/04/2022,6,CloserTwins,30s,OTT,0,5136.28,151068,104697,44662_6_CloserTwins_30s_OTT,27,0
164,164,18/04/2022,6,CloserTwins,30s,OTT,0,5125.92,150762,120168,44669_6_CloserTwins_30s_OTT,10,0
209,209,19/04/2022,6,CloserTwins,30s,OTT,0,5125.28,150745,117844,44670_6_CloserTwins_30s_OTT,33,2
103,103,14/04/2022,6,CloserTwins,30s,OTT,0,5086.73,149608,112186,44665_6_CloserTwins_30s_OTT,11,0
7,7,29/03/2022,6,CloserTwins,30s,OTT,0,5079.16,149390,97947,44649_6_CloserTwins_30s_OTT,,
33,33,05/04/2022,6,CloserTwins,30s,OTT,0,5077.62,149344,78634,44656_6_CloserTwins_30s_OTT,23,0
26119,26119,20/10/2022,4,UnfairAdvantage,1099,Domain Display,72,753.085351,149137,4442,44854_4_UnfairAdvantage_1099_Domain Display,59,0
