,date,audience,clicks,spend,impressions,reach,total_sessions,completions_F_T,Audience_1,Audience_2,Audience_3,Audience_4,Audience_5,Audience_6,Close_Faster,Closer_Twins,Competitive_Opportunity,SEM_Ads,Unfair_Advantage,Domain_Dsiplay,Facebook,Google_SEM,Linkedin,OTT,User_ID_Display
1,01/04/2022,6,0,1732.47,50954,35475,18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2,01/04/2022,6,0,5320.25,156481,86030,59,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
3,02/04/2022,6,0,1723.12,50681,38699,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
4,02/04/2022,6,0,5227.5,153750,90328,39,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
5,03/04/2022,6,0,1712.05,50357,35909,16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
6,03/04/2022,6,0,5187.72,152582,84844,46,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
7,04/04/2022,6,0,1718.93,50559,34856,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
8,04/04/2022,6,0,5182.5,152427,80719,39,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
9,05/04/2022,6,0,1689.21,49684,33459,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
10,05/04/2022,6,0,5077.62,149344,78634,23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
11,05/04/2022,6,18,374.45,5428,5428,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
12,06/04/2022,6,0,1761.85,51820,37420,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
13,06/04/2022,6,0,5374.75,158082,95321,52,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
14,06/04/2022,6,11,60.457642,12339,2942,18,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
15,06/04/2022,6,20,275.21,2164,2151,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
16,06/04/2022,6,6,60.777255,12405,2964,11,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
17,07/04/2022,6,0,1682.52,49487,34442,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
18,07/04/2022,6,0,4976.81,146377,92241,32,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
19,07/04/2022,6,17,107.773085,22140,5913,22,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
20,07/04/2022,6,19,221.74,1149,1058,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
