,city_name,latitude,longitude,city_population,city_state_code,state_name
3158,‘Ewa Gentry,21.33999,-158.03039,22690,HI,Hawaii
508,Aberdeen,39.50956,-76.16412,15580,MD,Maryland
2295,Aberdeen,45.4647,-98.48648,28102,SD,South Dakota
3060,Aberdeen,46.97537,-123.81572,16276,WA,Washington
927,Abilene,32.44874,-99.73314,125182,TX,Texas
1509,Abington,42.10482,-70.94532,15985,MA,Massachusetts
2229,Abington,40.12067,-75.11795,55310,PA,Pennsylvania
1510,Acton,42.48509,-71.43284,20897,MA,Massachusetts
303,Acworth,34.06635,-84.67837,22131,GA,Georgia
805,Ada,34.77453,-96.67834,17303,OK,Oklahoma
65,Adams Morgan,38.9215,-77.0422,15830,DC,District of Columbia
928,Addison,32.96179,-96.82917,15518,TX,Texas
1285,Addison,41.9317,-87.98896,37208,IL,Illinois
2416,Adelanto,34.58277,-117.40922,33166,CA,California
509,Adelphi,39.00317,-76.97192,15086,MD,Maryland
1634,Adrian,41.89755,-84.03717,20691,MI,Michigan
605,Affton,38.55061,-90.33317,20307,MO,Missouri
1511,Agawam,42.06954,-72.61481,28761,MA,Massachusetts
2417,Agoura,34.14306,-118.73787,20537,CA,California
2418,Agoura Hills,34.13639,-118.77453,20915,CA,California
2922,Ahwatukee Foothills,33.34171,-111.98403,83464,AZ,Arizona
849,Aiken,33.56042,-81.71955,30604,SC,South Carolina
2140,Akron,41.08144,-81.51901,197542,OH,Ohio
1191,Alabaster,33.24428,-86.81638,32707,AL,Alabama
3170,Alafaya,28.5641,-81.2114,78113,FL,Florida
2419,Alameda,37.77099,-122.26087,78630,CA,California
929,Alamo,26.18369,-98.12306,19246,TX,Texas
2864,Alamogordo,32.89953,-105.96027,30753,NM,New Mexico
304,Albany,31.57851,-84.15574,74843,GA,Georgia
1910,Albany,42.65258,-73.75623,98469,NY,New York
2420,Albany,37.88687,-122.29775,19735,CA,California
2967,Albany,44.63651,-123.10593,52175,OR,Oregon
1286,Albany Park,41.96836,-87.72339,52079,IL,Illinois
687,Albemarle,35.35014,-80.20006,16003,NC,North Carolina
1709,Albert Lea,43.64801,-93.36827,17674,MN,Minnesota
