URL,campaign,ad_format,clicks,spend,creative_size,date,impressions,reach,audience,platform,creative_family,creative_version,full_video_views,video_starts,follows,days_from_max,latest_report,CTR,CTR_score,weighted_CTR_score,n
NA,3 - StackAdapt - Display - Image,Display,0,NA,300x600,2022-08-22,4,NA,3,Domain Display,CloserTwins,MoreLoansAll,NA,NA,NA,70,0,0,0.5,2,2
NA,3 - StackAdapt - Display - Image,Display,0,NA,300x600,2022-08-20,4,1,3,Domain Display,CloserTwins,MoreLoansAll,NA,NA,NA,72,0,0,0.5,2,2
NA,3 - StackAdapt - Display - Image,Display,0,NA,300x600,2022-08-19,3,NA,3,Domain Display,CloserTwins,MoreLoansAll,NA,NA,NA,73,0,0,0.5,1.5,2
NA,2 - StackAdapt - Display - Image,Display,0,NA,300x600,2022-08-17,1,NA,2,Domain Display,CloserTwins,MoreLoansAll,NA,NA,NA,75,0,0,0.5,0.5,2
NA,3 - StackAdapt - Display - Image,Display,0,NA,300x600,2022-08-16,3,NA,3,Domain Display,CloserTwins,MoreLoansAll,NA,NA,NA,76,0,0,0.5,1.5,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-09-07,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,54,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-05-27,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,157,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-04-07,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,207,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-08-11,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,81,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-07-14,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,109,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-07-23,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,100,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,CDFI,2022-04-17,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,197,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-08-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,84,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-09-04,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,57,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-04-09,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,205,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-08-22,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,70,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,CDFI,2022-06-23,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,130,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-04-19,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,195,0,0,NA,NA,2
NA,Brand_Phrase,CPC,0,0,change wholesale,2022-08-14,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,78,0,0,NA,NA,2
