...1,date,audience,creative_family,creative_version,platform,ad_format,campaign_traffic,total_sessions,total_bounces,total_duration,days_away,latest_report
0,2022-08-16,NA,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,73,76,0
1,2022-06-16,3,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0,137,0
2,2022-08-29,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,2,0,0,63,0
3,2022-06-09,4,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,2,0,50,144,0
4,2022-08-03,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,89,0
5,2022-08-23,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0,69,0
6,2022-06-14,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0,139,0
7,2022-09-05,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0,56,0
8,2022-08-30,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0,62,0
9,2022-06-15,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,184,138,0
10,2022-05-05,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,105,179,0
11,2022-04-30,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,184,0
12,2022-09-27,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,2,0,0,34,0
13,2022-10-13,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0,18,0
14,2022-05-31,6,Trade Media Ads,ROS5,Trade Media,Housingwire,Campaign,4,0,1403,153,0
15,2022-09-09,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,52,0
16,2022-05-03,NA,UnfairAdvantage,one_page,Domain Display,NA,Campaign,1,0,0,181,0
17,2022-09-25,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,8,0,0,36,0
18,2022-07-02,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,3,0,0,121,0
19,2022-06-04,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,1,0,0,149,0
20,2022-07-23,4,CloserTwins,Competitors,Domain Display,NA,Campaign,NA,0,0,100,0
21,2022-08-21,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,71,0
22,2022-06-17,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,136,0
23,2022-07-30,5,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,1,0,0,93,0
24,2022-05-24,1,CloserTwins,Namaste,Facebook,Video,Campaign,2,0,0,160,0
25,2022-06-30,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,8,0,7,123,0
26,2022-09-09,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,17,0,0,52,0
27,2022-07-03,5,CloserTwins,interactive,Domain Display,NA,Campaign,1,1,0,120,0
28,2022-07-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,19,0,36.9999999999999,111,0
29,2022-04-16,6,CloserTwins,OTT_15,OTT,Video,Campaign,1,0,0,198,0
30,2022-04-29,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,1,0,0,185,0
31,2022-05-31,4,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0,153,0
32,2022-05-20,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,4,0,50,164,0
33,2022-05-24,2,UnfairAdvantage,one_page,Facebook,Single image,Campaign,1,0,0,160,0
34,2022-05-09,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,0,175,0
35,2022-05-28,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,1,0,155,156,0
36,2022-07-24,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0,99,0
37,2022-08-13,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,8,0,0,79,0
38,2022-06-11,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0,142,0
39,2022-06-20,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,90,0,12846.9999999999,133,0
40,2022-09-17,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,6,44,0
41,2022-09-05,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0,56,0
42,2022-09-01,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,60,0
45,2022-06-25,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,128,0
46,2022-05-03,2,CloserTwins,EarlyBird,Facebook,Single image,Campaign,1,0,0,181,0
47,2022-07-13,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,3,0,0,110,0
48,2022-07-20,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,103,0
49,2022-07-21,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,4,0,0,102,0
50,2022-08-08,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,84,0
51,2022-08-26,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,6,0,0,66,0
52,2022-05-30,1,CloserTwins,Paperwork,Facebook,Video,Campaign,2,0,0,154,0
53,2022-07-02,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0,121,0
54,2022-05-26,6,Trade Media Ads,300x250,Trade Media,National_mortgage_news,Campaign,1,0,0,158,0
55,2022-08-15,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,77,0
56,2022-10-14,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,15,0,0,17,0
57,2022-08-04,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,7,0,0,88,0
58,2022-07-10,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,113,0
59,2022-07-30,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,4,0,0,93,0
60,2022-10-06,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0,25,0
61,2022-05-25,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,159,0
62,2022-06-03,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0,150,0
63,2022-09-12,3,CloseFaster,MoreAll,User ID Display,NA,Campaign,13,0,0,49,0
64,2022-09-04,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0,57,0
65,2022-08-02,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,90,0
66,2022-09-23,5,UnfairAdvantage,one_page,Domain Display,NA,Campaign,7,0,0,38,0
67,2022-06-20,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0,133,0
68,2022-10-04,4,UnfairAdvantage,one_page,User ID Display,NA,Campaign,40,0,0,27,0
69,2022-05-17,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,167,0
70,2022-09-21,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,129,40,0
71,2022-07-30,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0,93,0
72,2022-06-22,3,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,0,131,0
73,2022-05-26,4,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0,158,0
74,2022-04-22,NA,(not set),NA,NA,NA,General traffic,1757,5,140327.999999999,192,0
