...1,date,campaign,audience,creative_family,creative_version,platform,ad_format,goal,completions,campaign_traffic,days_away,latest_report
0,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,213,0
1,2022-04-01,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,213,0
2,2022-04-01,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,213,0
3,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,213,0
4,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),18,General traffic,213,0
5,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,213,0
6,2022-04-01,(not set),NA,NA,NA,NA,NA,Start Closing More,5,General traffic,213,0
7,2022-04-02,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,212,0
8,2022-04-02,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic,212,0
9,2022-04-03,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,211,0
10,2022-04-04,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,210,0
11,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,210,0
12,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic,210,0
13,2022-04-04,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,210,0
14,2022-04-05,(not set),NA,NA,NA,NA,NA,Form Submission,5,General traffic,209,0
15,2022-04-05,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,209,0
16,2022-04-05,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),17,General traffic,209,0
17,2022-04-05,(not set),NA,NA,NA,NA,NA,Start Closing More,7,General traffic,209,0
18,2022-04-06,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,208,0
19,2022-04-06,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,208,0
20,2022-04-06,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,208,0
21,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,208,0
22,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),10,General traffic,208,0
23,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,208,0
24,2022-04-06,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,208,0
25,2022-04-07,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,207,0
26,2022-04-07,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,207,0
27,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,207,0
28,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),16,General traffic,207,0
29,2022-04-07,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,207,0
30,2022-04-08,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,206,0
31,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,206,0
32,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic,206,0
33,2022-04-08,(not set),NA,NA,NA,NA,NA,Start Closing More,6,General traffic,206,0
34,2022-04-09,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,205,0
35,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,205,0
36,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic,205,0
37,2022-04-10,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,204,0
38,2022-04-10,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,204,0
